corr_thresh,base_bil,overlay_mods,sharpe,return,mdd,triple,guard_months
-0.1,0.03,stop_tight,0.9993132323895623,0.09307872332950273,-0.09352686393635534,False,47
-0.1,0.03,vol_low,0.9696394371235963,0.08975324819836891,-0.10135473310023614,False,47
-0.1,0.03,s7+stop,1.077325265297778,0.10485736575779661,-0.09326372138020773,True,47
-0.1,0.05,none,0.9836823277123559,0.09322910273457002,-0.09863349833325862,False,47
-0.1,0.05,v5_mods,0.9930662788542838,0.10097397818161244,-0.10839124463302147,False,47
-0.1,0.05,s7_aggressive,0.9933646007708101,0.09621310241413572,-0.09701810732717177,False,47
-0.1,0.05,stop_tight,1.0275148094059063,0.09442417669523834,-0.08784287509548322,False,47
-0.1,0.05,vol_low,0.9915472343164887,0.09043152076594277,-0.09863349833325878,False,47
-0.1,0.05,s7+stop,1.1016488339634842,0.1053914874958968,-0.09133973281884174,True,47
-0.1,0.08,none,0.9581973851612284,0.0900241175088433,-0.09453992738282209,False,47
-0.1,0.08,v5_mods,0.9926468347349825,0.09818546049413737,-0.1040625606868063,False,47
-0.1,0.08,s7_aggressive,0.9658905375025411,0.09189091041923775,-0.09297080475563199,False,47
-0.1,0.08,stop_tight,1.0394042369480387,0.09373049633137842,-0.08503794725857217,False,47
-0.1,0.08,vol_low,0.9656317996815945,0.08726548673898811,-0.09453992738282205,False,47
-0.1,0.08,s7+stop,1.0867717017608705,0.10253693792351823,-0.08460318525284491,True,47
-0.1,0.1,none,0.9519485591491441,0.08855103789734863,-0.09500396955074064,False,47
-0.1,0.1,v5_mods,1.0132549328977134,0.0983324892038791,-0.10133984630948806,False,47
-0.1,0.1,s7_aggressive,0.9904074229345612,0.09335742861100743,-0.09500396955074061,False,47
-0.1,0.1,stop_tight,1.041653489607876,0.09259752760884213,-0.08316501579864366,False,47
-0.1,0.1,vol_low,0.9691801412806923,0.08634419009984055,-0.09180305257581065,False,47
-0.1,0.1,s7+stop,1.0440263206404725,0.09763125210229895,-0.09180305257581062,False,47
0.0,0.0,none,0.8912633091725167,0.08720985399676356,-0.12039477727201635,False,35
0.0,0.0,v5_mods,0.921580213422724,0.09843743378426376,-0.11690000306397057,False,35
0.0,0.0,s7_aggressive,0.8776556933143063,0.08810198595849307,-0.12226235140678092,False,35
0.0,0.0,stop_tight,0.9571437054090243,0.09019048242865974,-0.12080630827376106,False,35
0.0,0.0,vol_low,0.8427684970107964,0.08002626091739566,-0.12042179478485536,False,35
0.0,0.0,s7+stop,1.0243244566821461,0.10188105333298868,-0.10484780438997841,False,35
0.0,0.03,none,0.8887808097146394,0.08544815763213655,-0.11736760259499776,False,35
0.0,0.03,v5_mods,0.9252846442892455,0.0967160496599969,-0.11026855224854269,False,35
0.0,0.03,s7_aggressive,0.8708426658639128,0.086000234870013,-0.1192064392699082,False,35
0.0,0.03,stop_tight,0.968967201816094,0.08987784085480809,-0.1186582764276009,False,35
0.0,0.03,vol_low,0.8689788453179047,0.08113598990863903,-0.117837413861603,False,35
0.0,0.03,s7+stop,1.0154502253836255,0.09923393469416411,-0.10218331694297579,False,35
0.0,0.05,none,0.915942937459512,0.0873868932517461,-0.11435279221380192,False,35
0.0,0.05,v5_mods,0.9374889860594299,0.0962100743147566,-0.10875308629024454,False,35
0.0,0.05,s7_aggressive,0.8957978766707808,0.08686292397201736,-0.11830454270503948,False,35
0.0,0.05,stop_tight,1.0145477791705937,0.09237728827712782,-0.11396706313795439,False,35
0.0,0.05,vol_low,0.9040427540706336,0.0832932910960186,-0.1148410083252587,False,35
0.0,0.05,s7+stop,1.0393000585100989,0.09988373811992816,-0.10040337238681432,False,35
0.0,0.08,none,0.9014432902370032,0.08508478006849417,-0.11117947065917902,False,35
0.0,0.08,v5_mods,0.9687296488554356,0.09634440159832527,-0.11096146732871068,False,35
0.0,0.08,s7_aggressive,0.9002408130137716,0.08655900227920622,-0.11503332451158699,False,35
0.0,0.08,stop_tight,1.0240202303124266,0.09178766581797713,-0.11056359004565103,False,35
0.0,0.08,vol_low,0.8872390721247274,0.0808697049374859,-0.11169026987091493,False,35
0.0,0.08,s7+stop,1.0222689729199872,0.09704413996809513,-0.10107376587415876,False,35
0.0,0.1,none,0.9123555997627107,0.08483918974157426,-0.10714850702346695,False,35
0.0,0.1,v5_mods,0.9856684889135561,0.09615258773376721,-0.10880614485397205,False,35
0.0,0.1,s7_aggressive,0.9157891019673112,0.08667152814534103,-0.11131485682973592,False,35
0.0,0.1,stop_tight,0.9959371589994255,0.08863454530110108,-0.10926895471860187,False,35
0.0,0.1,vol_low,0.9138374996146816,0.08193173602885395,-0.10775489886178155,False,35
0.0,0.1,s7+stop,0.9834426957302547,0.0922010652859924,-0.10669939350013405,False,35
